WBGene00001130,dyn_1,X,15572271,15573021,15568921,+
WBGene00003386,mod_1,V,8910090,8910840,8913992,-
WBGene00004719,sad_1,X,13488903,13489653,13500552,-
WBGene00006755,unc_16,III,9554443,9555193,9546359,+
WBGene00001335,erp_1,X,3801426,3802176,3802752,-
WBGene00004316,rbf_1,III,6699244,6699994,6675988,+
WBGene00003966,pdr_1,III,13772278,13773062,13771531,+
### test coordinates for 1pct ###
#WBGene00000666,dyn_1t1,X,157227,173021,15568921,+
#WBGene00000622,dyn_1t2,X,157227,157341,15568921,+
#WBGene00000000,test,MtDNA,45,55,35,-
### test coordinates for mingen ###
#WBG001,t1,II,50,70,25,+
#WBG002,t2,II,90,110,85,+
